,@flowId,@txBytes,@rxBytes,@txPackets,@rxPackets,@lostPackets
0,1,336,0,6,0,5
1,2,336,0,6,0,5
2,3,336,0,6,0,5
3,4,336,0,6,0,5
4,5,336,0,6,0,5
5,6,336,0,6,0,5
6,7,336,0,6,0,5
7,8,336,0,6,0,5
8,9,336,0,6,0,5
9,10,336,0,6,0,5
10,11,336,0,6,0,5
11,12,336,0,6,0,5
12,13,336,0,6,0,5
13,14,336,0,6,0,5
14,15,336,0,6,0,5
15,16,336,0,6,0,5
16,17,336,0,6,0,5
17,18,336,0,6,0,5
18,19,336,0,6,0,5
19,20,336,0,6,0,5
20,21,664752144,664653084,436191,436126,0
21,22,336,0,6,0,5
22,23,336,0,6,0,5
23,24,336,0,6,0,5
24,25,336,0,6,0,5
25,26,11339280,11338604,218063,218050,9
